,StaticClassifierStates,HmmStates,target
691,StairClimbing,StairClimbing,StairClimbing
692,StairClimbing,StairClimbing,StairClimbing
693,StairClimbing,StairClimbing,StairClimbing
694,StairClimbing,StairClimbing,StairClimbing
695,StairClimbing,StairClimbing,StairClimbing
696,StairClimbing,StairClimbing,StairClimbing
697,StairClimbing,StairClimbing,StairClimbing
698,StairClimbing,StairClimbing,StairClimbing
699,StairClimbing,StairClimbing,StairClimbing
700,StairClimbing,StairClimbing,StairClimbing
701,StairClimbing,StairClimbing,StairClimbing
702,Walking,StairClimbing,StairClimbing
703,StairClimbing,StairClimbing,StairClimbing
704,StairClimbing,StairClimbing,StairClimbing
705,StairClimbing,StairClimbing,StairClimbing
706,StairClimbing,StairClimbing,StairClimbing
707,StairClimbing,StairClimbing,StairClimbing
708,StairClimbing,StairClimbing,StairClimbing
709,StairClimbing,StairClimbing,StairClimbing
710,StairClimbing,StairClimbing,StairClimbing
711,StairClimbing,StairClimbing,StairClimbing
712,StairClimbing,StairClimbing,StairClimbing
713,StairClimbing,StairClimbing,StairClimbing
714,StairClimbing,StairClimbing,StairClimbing
715,StairClimbing,StairClimbing,StairClimbing
716,StairClimbing,StairClimbing,StairClimbing
717,StairClimbing,StairClimbing,StairClimbing
718,StairClimbing,StairClimbing,StairClimbing
719,StairClimbing,StairClimbing,StairClimbing
720,StairClimbing,StairClimbing,StairClimbing
721,StairClimbing,StairClimbing,StairClimbing
722,StairClimbing,StairClimbing,StairClimbing
723,Walking,StairClimbing,StairClimbing
724,Walking,StairClimbing,StairClimbing
725,Walking,StairClimbing,StairClimbing
726,Walking,StairClimbing,StairClimbing
727,Walking,StairClimbing,StairClimbing
728,Walking,StairClimbing,StairClimbing
729,Walking,StairClimbing,StairClimbing
730,StairClimbing,StairClimbing,StairClimbing
731,Walking,StairClimbing,StairClimbing
732,Walking,StairClimbing,StairClimbing
733,Walking,StairClimbing,StairClimbing
734,StairClimbing,StairClimbing,StairClimbing
735,Walking,StairClimbing,StairClimbing
736,Walking,Walking,StairClimbing
737,Walking,Walking,StairClimbing
738,Walking,Walking,StairClimbing
739,Walking,Walking,StairClimbing
740,Walking,Walking,StairClimbing
741,Walking,Walking,StairClimbing
742,Standing,Standing,StairClimbing
743,Standing,Standing,StairClimbing
744,Walking,Walking,StairClimbing
