,StaticClassifierStates,HmmStates,target
448,Sitting,Sitting,Sitting
449,Lying,Lying,Lying
450,Lying,Lying,Lying
451,Lying,Lying,Lying
452,Lying,Lying,Lying
453,Lying,Lying,Lying
454,Lying,Lying,Lying
455,Lying,Lying,Lying
456,Lying,Lying,Lying
457,Lying,Lying,Lying
458,Lying,Lying,Lying
459,Lying,Lying,Lying
460,Lying,Lying,Lying
461,Lying,Lying,Lying
462,Lying,Lying,Lying
463,Lying,Lying,Lying
464,Lying,Lying,Lying
465,Lying,Lying,Lying
466,Lying,Lying,Lying
467,Lying,Lying,Lying
468,Lying,Lying,Lying
469,Lying,Lying,Lying
470,Lying,Lying,Lying
471,Lying,Lying,Lying
472,Sitting,Sitting,Lying
473,Sitting,Sitting,Lying
474,Lying,Lying,Lying
475,Lying,Lying,Lying
476,Lying,Lying,Lying
477,Lying,Lying,Lying
478,Sitting,Sitting,Lying
479,Sitting,Sitting,Lying
480,Sitting,Sitting,Lying
481,Sitting,Sitting,Lying
482,Sitting,Sitting,Lying
483,Sitting,Sitting,Lying
484,Sitting,Sitting,Lying
485,Sitting,Sitting,Lying
486,Sitting,Sitting,Lying
487,Sitting,Sitting,Lying
488,Sitting,Sitting,Lying
489,Sitting,Sitting,Lying
490,Sitting,Sitting,Lying
491,Lying,Sitting,Lying
492,Sitting,Sitting,Lying
493,Sitting,Sitting,Lying
494,Lying,Lying,Lying
495,Lying,Lying,Lying
496,Lying,Lying,Lying
497,Lying,Lying,Lying
498,Sitting,Sitting,Lying
499,Sitting,Sitting,Lying
500,Sitting,Sitting,Lying
501,Lying,Lying,Lying
502,Lying,Lying,Lying
503,Lying,Lying,Lying
504,Lying,Wheeling,Lying
505,Lying,Wheeling,Lying
506,Wheeling,Wheeling,Lying
507,Sitting,Wheeling,Lying
508,Wheeling,Wheeling,Lying
509,Wheeling,Wheeling,Lying
510,Lying,Sitting,Lying
511,Sitting,Sitting,Lying
512,Sitting,Sitting,Lying
513,Sitting,Sitting,Lying
514,StairClimbing,Wheeling,Lying
515,Lying,Lying,Lying
516,Standing,Standing,Lying
517,Standing,Standing,Lying
518,Lying,Lying,Lying
519,Lying,Lying,Lying
520,Lying,Lying,Lying
521,Lying,Lying,Lying
522,Walking,StairClimbing,Lying
523,StairClimbing,StairClimbing,Lying
524,StairClimbing,StairClimbing,Lying
525,StairClimbing,StairClimbing,Lying
526,StairClimbing,StairClimbing,Lying
527,StairClimbing,StairClimbing,Lying
528,Standing,StairClimbing,Lying
529,StairClimbing,StairClimbing,Lying
530,Walking,StairClimbing,Lying
531,StairClimbing,StairClimbing,Lying
532,StairClimbing,StairClimbing,Lying
533,Walking,Walking,Walking
534,Walking,Walking,Walking
535,Walking,Walking,Walking
536,StairClimbing,Walking,Walking
537,Walking,Walking,Walking
538,StairClimbing,Walking,Walking
539,Walking,Walking,Walking
540,Walking,Walking,Walking
541,Walking,Walking,Walking
542,Walking,Walking,Walking
543,Walking,Walking,Walking
544,Walking,Walking,Walking
545,Walking,Walking,Walking
546,Walking,Walking,Walking
547,Walking,Walking,Walking
548,Walking,Walking,Walking
549,Walking,Walking,Walking
550,Walking,Walking,Walking
551,Walking,Walking,Walking
552,Walking,Walking,Walking
553,Walking,Walking,Walking
554,Walking,Walking,Walking
555,Walking,Walking,Walking
556,Walking,Walking,Walking
557,Walking,Walking,Walking
558,Walking,Walking,Walking
559,Walking,Walking,Walking
560,Walking,Walking,Walking
561,Walking,Walking,Walking
562,Walking,Walking,Walking
563,Walking,Walking,Walking
564,Walking,Walking,Walking
565,Walking,Walking,Walking
566,Walking,Walking,Walking
567,Walking,Walking,Walking
568,Walking,Walking,Walking
569,Walking,Walking,Walking
570,Walking,Walking,Walking
571,Walking,Walking,Walking
572,Walking,Walking,Walking
573,Walking,Walking,Walking
574,Walking,Walking,Walking
575,Walking,Walking,Walking
576,Walking,Walking,Walking
577,Walking,Walking,Walking
578,Walking,Walking,Walking
579,Walking,Walking,Walking
580,Walking,Walking,Walking
581,Walking,Walking,Walking
582,Walking,Walking,Walking
583,Walking,Walking,Walking
584,Walking,Walking,Walking
585,Walking,Walking,Walking
586,Walking,Walking,Walking
587,Walking,Walking,Walking
588,Walking,Walking,Walking
589,Walking,Walking,Walking
590,Walking,Walking,Walking
591,StairClimbing,StairClimbing,Walking
592,StairClimbing,StairClimbing,Walking
593,Walking,StairClimbing,Walking
594,Standing,StairClimbing,Walking
595,StairClimbing,StairClimbing,Walking
596,Walking,StairClimbing,StairClimbing
597,Walking,StairClimbing,StairClimbing
598,StairClimbing,StairClimbing,StairClimbing
599,StairClimbing,StairClimbing,StairClimbing
600,StairClimbing,StairClimbing,StairClimbing
601,StairClimbing,StairClimbing,StairClimbing
602,StairClimbing,StairClimbing,StairClimbing
603,StairClimbing,StairClimbing,StairClimbing
604,StairClimbing,StairClimbing,StairClimbing
605,StairClimbing,StairClimbing,StairClimbing
606,StairClimbing,StairClimbing,StairClimbing
607,Walking,StairClimbing,StairClimbing
608,StairClimbing,StairClimbing,StairClimbing
609,StairClimbing,StairClimbing,StairClimbing
610,Walking,StairClimbing,StairClimbing
611,Walking,StairClimbing,StairClimbing
612,StairClimbing,StairClimbing,StairClimbing
613,StairClimbing,StairClimbing,StairClimbing
614,StairClimbing,StairClimbing,StairClimbing
615,Walking,StairClimbing,StairClimbing
616,StairClimbing,StairClimbing,StairClimbing
617,StairClimbing,StairClimbing,StairClimbing
618,StairClimbing,StairClimbing,StairClimbing
619,StairClimbing,StairClimbing,StairClimbing
620,Lying,StairClimbing,StairClimbing
621,StairClimbing,StairClimbing,StairClimbing
622,StairClimbing,StairClimbing,StairClimbing
623,StairClimbing,StairClimbing,StairClimbing
624,StairClimbing,StairClimbing,StairClimbing
625,StairClimbing,StairClimbing,StairClimbing
626,StairClimbing,StairClimbing,StairClimbing
627,StairClimbing,StairClimbing,StairClimbing
628,Standing,StairClimbing,StairClimbing
629,Standing,StairClimbing,StairClimbing
630,StairClimbing,StairClimbing,StairClimbing
631,StairClimbing,StairClimbing,StairClimbing
632,StairClimbing,StairClimbing,StairClimbing
633,StairClimbing,StairClimbing,StairClimbing
634,Walking,StairClimbing,StairClimbing
635,StairClimbing,StairClimbing,StairClimbing
636,StairClimbing,StairClimbing,StairClimbing
637,StairClimbing,StairClimbing,StairClimbing
638,Walking,StairClimbing,StairClimbing
639,Walking,StairClimbing,StairClimbing
640,StairClimbing,StairClimbing,StairClimbing
641,StairClimbing,StairClimbing,StairClimbing
642,StairClimbing,StairClimbing,StairClimbing
643,StairClimbing,StairClimbing,StairClimbing
644,Walking,StairClimbing,StairClimbing
645,StairClimbing,StairClimbing,StairClimbing
646,StairClimbing,StairClimbing,StairClimbing
647,Walking,StairClimbing,StairClimbing
648,StairClimbing,StairClimbing,StairClimbing
649,StairClimbing,StairClimbing,StairClimbing
650,StairClimbing,StairClimbing,StairClimbing
651,Walking,StairClimbing,StairClimbing
652,StairClimbing,StairClimbing,StairClimbing
653,Standing,StairClimbing,StairClimbing
654,Standing,StairClimbing,StairClimbing
655,StairClimbing,StairClimbing,StairClimbing
656,StairClimbing,StairClimbing,StairClimbing
657,StairClimbing,StairClimbing,StairClimbing
658,StairClimbing,StairClimbing,StairClimbing
659,Walking,StairClimbing,StairClimbing
660,StairClimbing,StairClimbing,StairClimbing
661,Standing,Standing,Standing
662,Standing,Standing,Standing
663,Standing,Standing,Standing
664,Standing,Standing,Standing
665,Standing,Standing,Standing
666,Standing,Standing,Standing
667,Standing,Standing,Standing
668,Standing,Standing,Standing
669,StairClimbing,StairClimbing,StairClimbing
670,StairClimbing,StairClimbing,StairClimbing
671,Standing,StairClimbing,StairClimbing
