,meanX,abs(meanX),meanY,abs(meanY),meanZ,abs(meanZ),skewX,skewY,skewZ,kurtosisX,kurtosisY,kurtosisZ,stdX,stdY,stdZ,rmsX,rmsY,rmsZ,minX,minY,minZ,maxX,maxY,maxZ,absMinX,absMinY,absMinZ,absMaxX,absMaxY,absMaxZ,meanXY,meanXZ,meanYZ,absMeanXY,absMeanXZ,absMeanYZ,overallMeanAcceleration,target
114,-0.91935,0.91935,0.38275000000000003,0.38275000000000003,-0.14575000000000002,0.14575000000000002,0.38107768159398103,0.5209024881434453,-0.3382735784480253,-0.844926403527674,-1.0712760830774972,-1.403725534568319,0.003927785635698571,0.0033893214660164683,0.0038584323241440933,0.9193583904006097,0.3827650062375086,0.14580106309626142,-0.927,0.378,-0.152,-0.909,0.39,-0.141,0.909,0.378,0.141,0.927,0.39,0.152,-0.3518799,0.13399360000000002,-0.05578059999999999,0.3518799,0.13399360000000002,0.05578059999999999,-0.22745,Sitting
115,-0.9208000000000001,0.9208000000000001,0.38300000000000006,0.38300000000000006,-0.1399,0.1399,0.6717324964138387,0.3799933307877706,0.08222502149806833,0.22409119897961283,-1.3360992226395583,-0.2730375129117877,0.0029933259094191557,0.003271085446759228,0.002188606862823924,0.9208048653216381,0.3830139684136859,0.1399171183236705,-0.927,0.378,-0.14400000000000002,-0.915,0.39,-0.135,0.915,0.378,0.135,0.927,0.39,0.14400000000000002,-0.35266905000000004,0.12881805,-0.05358134999999999,0.35266905000000004,0.12881805,0.05358134999999999,-0.22590000000000002,Sitting
116,-0.9206500000000001,0.9206500000000001,0.3832500000000001,0.3832500000000001,-0.13770000000000002,0.13770000000000002,0.7364994070142888,0.6337491427736811,0.05003704477250101,-0.5968817526679935,-0.797404994521806,2.426064903472917,0.0035535193822462856,0.004193745342769399,0.003536947836765476,0.9206568579009229,0.38327294451865507,0.1377454173466399,-0.927,0.378,-0.15,-0.912,0.393,-0.129,0.912,0.378,0.129,0.927,0.393,0.15,-0.3528381,0.12677295000000002,-0.0527697,0.3528381,0.12677295000000002,0.0527697,-0.22503333333333334,Sitting
117,-0.9206000000000001,0.9206000000000001,0.3834,0.3834,-0.13940000000000002,0.13940000000000002,1.260125559331951,0.6230939720684797,1.6914108939063741,1.999873017888679,-0.10551454624405077,3.216992359964781,0.0031685959035509742,0.004442971978304611,0.0029223278392404846,0.9206054529493077,0.38342574248477373,0.13943062791223454,-0.927,0.3720000000000001,-0.14400000000000002,-0.912,0.393,-0.129,0.912,0.3720000000000001,0.129,0.927,0.393,0.14400000000000002,-0.35294985,0.12833370000000002,-0.05344020000000001,0.35294985,0.12833370000000002,0.05344020000000001,-0.22553333333333336,Sitting
118,-0.921,0.921,0.381,0.381,-0.141,0.141,0.0,0.0,0.0,-3.0,-3.0,-3.0,0.0,0.0,0.0,0.921,0.381,0.141,-0.921,0.381,-0.141,-0.921,0.381,-0.141,0.921,0.381,0.141,0.921,0.381,0.141,-0.350901,0.129861,-0.053721,0.350901,0.129861,0.053721,-0.227,Sitting
119,-0.921,0.921,0.381,0.381,-0.141,0.141,0.0,0.0,0.0,-3.0,-3.0,-3.0,0.0,0.0,0.0,0.921,0.381,0.141,-0.921,0.381,-0.141,-0.921,0.381,-0.141,0.921,0.381,0.141,0.921,0.381,0.141,-0.350901,0.129861,-0.053721,0.350901,0.129861,0.053721,-0.227,Sitting
120,-0.921,0.921,0.381,0.381,-0.141,0.141,0.0,0.0,0.0,-3.0,-3.0,-3.0,0.0,0.0,0.0,0.921,0.381,0.141,-0.921,0.381,-0.141,-0.921,0.381,-0.141,0.921,0.381,0.141,0.921,0.381,0.141,-0.350901,0.129861,-0.053721,0.350901,0.129861,0.053721,-0.227,Sitting
121,-0.921,0.921,0.381,0.381,-0.141,0.141,0.0,0.0,0.0,-3.0,-3.0,-3.0,0.0,0.0,0.0,0.921,0.381,0.141,-0.921,0.381,-0.141,-0.921,0.381,-0.141,0.921,0.381,0.141,0.921,0.381,0.141,-0.350901,0.129861,-0.053721,0.350901,0.129861,0.053721,-0.227,Sitting
122,-0.921,0.921,0.381,0.381,-0.141,0.141,0.0,0.0,0.0,-3.0,-3.0,-3.0,0.0,0.0,0.0,0.921,0.381,0.141,-0.921,0.381,-0.141,-0.921,0.381,-0.141,0.921,0.381,0.141,0.921,0.381,0.141,-0.350901,0.129861,-0.053721,0.350901,0.129861,0.053721,-0.227,Sitting
123,-0.921,0.921,0.381,0.381,-0.141,0.141,0.0,0.0,0.0,-3.0,-3.0,-3.0,0.0,0.0,0.0,0.921,0.381,0.141,-0.921,0.381,-0.141,-0.921,0.381,-0.141,0.921,0.381,0.141,0.921,0.381,0.141,-0.350901,0.129861,-0.053721,0.350901,0.129861,0.053721,-0.227,Sitting
